更新时间,#genre#
2024-12-11 18:40:33,url
📺央视频道,#genre#
CCTV-1,http://59.173.183.242:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源|cache:http://59.173.183.242:9901
CCTV-1,http://59.173.243.210:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-cache:http://59.173.243.210:9901
CCTV-1,http://mom.cloudns.be:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$广东酒店源-cache:http://mom.cloudns.be:9901
CCTV-1,http://61.136.172.236:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-cache:http://61.136.172.236:9901
CCTV-1,http://221.222.162.206:8888/rtp/239.3.1.129:8008$组播源-cache:http://221.222.162.206:8888
CCTV-1,http://123.113.187.204:8000/rtp/239.3.1.129:8008$组播源-cache:http://123.113.187.204:8000
CCTV-1,http://123.113.237.160:8888/rtp/239.3.1.129:8008$组播源-cache:http://123.113.237.160:8888
CCTV-1,http://60.2.190.206:4000/rtp/239.253.92.83:8012$组播源-cache:http://60.2.190.206:4000
CCTV-1,http://115.171.216.209:4000/rtp/225.1.8.1:8008$组播源-cache:http://115.171.216.209:4000
CCTV-1,http://114.243.98.12:8888/rtp/239.3.1.129:8008$组播源-cache:http://114.243.98.12:8888
CCTV-2,http://59.173.183.242:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-cache:http://59.173.183.242:9901
CCTV-2,http://220.249.114.102:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源|cache:http://220.249.114.102:9901
CCTV-2,http://59.173.243.210:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$湖北酒店源-cache:http://59.173.243.210:9901
CCTV-2,http://mom.cloudns.be:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$广东酒店源-cache:http://mom.cloudns.be:9901
CCTV-2,http://221.222.162.206:8888/rtp/239.3.1.60:8084$组播源-cache:http://221.222.162.206:8888
CCTV-2,http://123.113.187.204:8000/rtp/239.3.1.60:8084$组播源-cache:http://123.113.187.204:8000
CCTV-2,http://123.113.237.160:8888/rtp/239.3.1.60:8084$组播源-cache:http://123.113.237.160:8888
